,Spacecraft,Start,Stop,Created
120415BP_SK_12104_12129.bsp,CASSINI,2012-04-13 14:01:38.000,2012-05-08 14:01:38.000,2012-04-15 16:21:47.000
120416R_SCPSE_12042_12061.bsp,CASSINI,2012-02-11 17:58:55.000,2012-03-17 11:58:55.000,2012-04-16 18:02:58.000
120416R_SCPSE_12042_12077.bsp,CASSINI,2012-02-11 17:58:55.000,2012-03-17 11:58:55.000,2012-04-16 18:02:58.000
120423AP_PE_12113_12129.bsp,CASSINI,2012-04-22 14:01:38.000,2012-05-08 14:01:38.000,2012-04-23 10:56:05.000
120423AP_SCPSE_12113_12129.bsp,CASSINI,2012-04-22 14:01:38.000,2012-05-08 14:01:38.000,2012-04-23 10:56:04.000
120423AP_SE_12113_12129.bsp,CASSINI,2012-04-22 14:01:38.000,2012-05-08 14:01:38.000,2012-04-23 10:56:05.000
120423AP_SK_12113_12129.bsp,CASSINI,2012-04-22 14:01:38.000,2012-05-08 14:01:38.000,2012-04-23 10:56:05.000
120426R_SCPSE_12077_12098.bsp,CASSINI,2012-03-17 11:58:55.000,2012-04-07 02:58:55.000,2012-04-26 13:17:17.000
120427AP_PE_12118_12129.bsp,CASSINI,2012-04-27 11:58:55.000,2012-05-08 11:58:55.000,2012-04-27 13:13:58.000
120427AP_SCPSE_12118_12129.bsp,CASSINI,2012-04-27 11:58:55.000,2012-05-08 11:58:55.000,2012-04-27 13:13:58.000
120427AP_SE_12118_12129.bsp,CASSINI,2012-04-27 11:58:55.000,2012-05-08 11:58:55.000,2012-04-27 13:13:59.000
120427AP_SK_12118_12129.bsp,CASSINI,2012-04-27 11:58:55.000,2012-05-08 11:58:55.000,2012-04-27 13:13:58.000
120502AP_PE_12122_12147.bsp,CASSINI,2012-05-01 05:14:55.000,2012-05-26 05:14:55.000,2012-05-02 14:37:53.000
120502AP_SE_12122_12147.bsp,CASSINI,2012-05-01 05:14:55.000,2012-05-26 05:14:55.000,2012-05-02 14:37:53.000
120502BP_SCPSE_12122_12147.bsp,CASSINI,2012-05-01 05:14:55.000,2012-05-26 05:14:55.000,2012-05-02 14:37:54.000
120502BP_SK_12122_12147.bsp,CASSINI,2012-05-01 05:14:55.000,2012-05-26 05:14:55.000,2012-05-02 14:37:53.000
120510AP_PE_12131_12149.bsp,CASSINI,2012-05-10 11:58:55.000,2012-05-28 11:58:55.000,2012-05-10 11:26:08.000
120510AP_SCPSE_12131_12149.bsp,CASSINI,2012-05-10 11:58:55.000,2012-05-28 11:58:55.000,2012-05-10 11:26:07.000
120510AP_SE_12131_12149.bsp,CASSINI,2012-05-10 11:58:55.000,2012-05-28 11:58:55.000,2012-05-10 11:26:08.000
120510AP_SK_12131_12149.bsp,CASSINI,2012-05-10 11:58:55.000,2012-05-28 11:58:55.000,2012-05-10 11:26:07.000
120518AP_PE_12138_12149.bsp,CASSINI,2012-05-17 11:58:55.000,2012-05-28 11:58:55.000,2012-05-18 14:52:05.000
120518AP_SCPSE_12138_12149.bsp,CASSINI,2012-05-17 11:58:55.000,2012-05-28 11:58:55.000,2012-05-18 14:52:04.000
120518AP_SE_12138_12149.bsp,CASSINI,2012-05-17 11:58:55.000,2012-05-28 11:58:55.000,2012-05-18 14:52:05.000
120518AP_SK_12138_12149.bsp,CASSINI,2012-05-17 11:58:55.000,2012-05-28 11:58:55.000,2012-05-18 14:52:05.000
